id,description,name,personality,history,health,animal_type,image,min_height,max_height,min_weight,max_weight,playfulness,grooming_requirements,friendliness_to_other_pets,friendliness_to_children,vocality,activity_level,independence,intelligence,need_for_attention,affection_for_owners,watchfulness,ease_of_training,heat_sensitivity,exercise_requirements
1,"The Affenpinscher is square-proportioned, compact and sturdy, with medium bone. This breed is a smaller version of a working terrier, and as such is not a delicate dog. This is an active, tough dog that is agile enough to catch and dispatch rodents. The gait is light, sound, and confident. The Affenpinscher has a monkey-like facial expression with long eyebrows and beard, which lends an air of comic seriousness. The rough coat is about 1 inch long on the body, somewhat longer on the head, neck, chest, stomach and legs. This coat type provided protection from pests and harsh conditions.",Affenpinscher,"The Affenpinscher lives up to its name monkey terrier in both looks and actions. They are terriers at heart, busy, inquisitive, bold, and stubborn, but also love to monkey around, being playful and mischievous. This breed tends to bark and even climb. Unlike most terriers, they are fairly good with other dogs and pets. This little dog is best with a family that likes entertainment and has a very good sense of humor.","The Affenpinscher’s name describes it well: Affen meaning monkey and Pinscher meaning terrier. In France the Affenpinscher is known as the “diablotin moustachu”—moustached little devil, which also aptly describes it! As one of the oldest toy breeds, the Affenpinscher’s origins are obscure. Paintings by the old Dutch Masters from the fifteenth century often included dogs resembling Affenpinschers, but more definite evidence of the breed is absent. Small terriers adept at dispatching rats were abundant in central Europe by the seventeenth century. In Germany, they were used to rid stables and kitchens of rodents. Even smaller versions of these dogs were preferred for lady’s lap dogs, able to protect the home from rodents, warm their mistress’ lap, and amuse the entire household with their antics. This small version eventually became the Affenpinscher, which was later refined by occasional crosses with the Pug, German Pinscher, and German Silky Pinscher. The Affenpinscher in turn became the progenitor of other wire-coated toys, most notably the Brussels Griffon. The breed was most popular in Germany, which can lay claim as its homeland. In 1936 the AKC recognized the Affenpinscher, but World War II slowed any momentum in popularity the breed had gained. Since then, the breed has remained extremely rare even in America and Germany, its comparative strongholds.","Major concerns: none
Minor concerns: patellar luxation, corneal ulcers
Occasionally seen: PDA, open fontanel, respiratory difficulties, Legg-Perthes
Suggested tests: knee, eye
Life span: 12–14 years",0,../../../assets/dog-breeds/affenpinscher.png,9.5,11.5,7,9,4,4,3,4,5,4,0,0,0,0,1,3,4,3
2,"The Afghan is built along greyhound-like lines, enabling this dog to execute a double-suspension gallop and run down fleet game. The comparatively short back and steep pelvis helped the Afghan to leap great heights and to turn almost in place, essential attributes for coursing in rocky mountainous terrain. The large feet provided better foothold and were more resistant to injury on rough ground. The silky coat protected the dog from cold nights at high altitudes. The Afghan appears dignified and aloof, with an exotic expression and proud carriage. The gait shows great elasticity and spring, and the dog moves with head and tail high.",Afghan Hound,"Despite the glamorous reputation, the Afghan Hound's heart lies in chasing down game over rugged terrain. While these dogs maintain regal bearings inside, Afghans need a daily chance to stretch their legs in a safe area. At times, they may have a reluctance to come when called. They will chase small animals outside, and will coexist peacefully inside. Though they can be gentle with children, the Afghan may not always be playful and interactive enough with them. Described by some as “catlike,” this breed is independent yet sensitive, and not overly demonstrative. They are reserved with strangers; some can be timid. They have a happy, clownish side.","With roots dating to the Egyptian pharaohs, the Afghan Hound is an ancient breed derived from the group of Middle Eastern sighthounds. Despite such illustrious roots, most of the Afghan Hound’s development is the result of their use by nomadic tribes as coursing hounds capable of providing small animal meat for the pot. The dogs often hunted with the aid of falcons, which were trained to swoop at the quarry. Generations of hunting in the harsh mountainous terrain of Afghanistan produced a fast dog that also had a good deal of stamina, but most of all, had incredible leaping ability and nimbleness. The Afghan's long coat provided protection from the cold climate. These dogs remained isolated for centuries, hidden in the impenetrable Afghanistan Mountains. The first Afghan Hound came to England in the early 1900s; at that time these dogs were called Persian Greyhounds or Barukhzy Hounds. They were a diverse lot so a standard of perfection—modeled on Zardin, a particularly striking dog—that described the more elegant, racy dog of today was created. Popularity grew slowly, with the dog appealing mostly to the glamour set. Popularity in the show ring was faster coming, with the Afghan quickly becoming one of the most competitive and glamorous dogs in the rings. In the 1970s the Afghan became a fad breed with the public, but has since dwindled in popularity.","Major concerns: none
Minor concerns: cataract
Occasionally seen: necrotic myelopathy, CHD, hypothyroidism
Suggested tests: eye, hip, thyroidism
Life span: 12–14 years
Note: sensitive to barbiturate anesthesia; prone to tail injuries",0,../../../assets/dog-breeds/afghan.png,25,27,50,60,3,4,3,2,3,2,0,0,0,0,1,2,3,2
3,"The Airedale Terrier is a neat, upstanding, long-legged terrier, not exaggerated in any way. This breed has strong round bone and combines strength and agility. The Airedale has strong jaws and a free gait. The coat is hard, dense, and wiry; it lies straight and close, with some hair crinkling or waving",Airedale Terrier,"Among the most versatile of terriers, the Airedale is bold, playful, and adventurous and is a lively yet protective companion. This breed is intelligent, but often stubborn and headstrong. Some can be domineering, but most are biddable, reliable, and responsive to their family's wishes. Airedales make good family pets as long as they get daily mental and physical exercise. They like to be the head dog and may not do well when another dog challenges that position, although usually get along well with smaller dogs.","Known as the King of Terriers, the Airedale is the tallest terrier. Like many terriers, this breed counts the old English, or Black and Tan, Terrier as one of its primary progenitors. These medium-sized dogs were prized by Yorkshire hunters (and poachers) for hunting a variety of game from water rat to fox. The dogs could also find and retrieve birds. Around the mid 1800s, some of these terriers around the River Aire in South Yorkshire were crossed with Otterhounds in order to improve their hunting ability around water, as well as their scenting ability. The result was a dog adept at otter hunting, originally called the Bingley or Waterside Terrier but recognized as the Airedale Terrier in 1878. Crosses to the Irish and Bull Terriers were made in order to reduce some of the remnants of the Otterhound cross that were now considered less than beautiful. By 1900, the patriarch of the breed, Champion Master Briar, was gaining renown, and his offspring carried on his influence in America. The Airedale’s size and gameness continued to win worldwide fame. This dog's smart looks and manners won it a place as a police dog and family pet, both roles it still enjoys. After World War I, however, The Airedale's popularity declined, and today this dog's reputation is greater than its numbers.","Major concerns: CHD
Minor concerns: gastric torsion, hypothyroidism
Occasionally seen: colonic disease
Suggested tests: hip, thyroid • Life span: 10–13 years",0,../../../assets/dog-breeds/airedale.png,23,23,55,55,4,4,2,2,4,4,0,0,0,0,4,3,3,3
4," A unique combination of Mastiff and gazehound features, the Akbash Dog’s characteristics enable him to perform as a livestock guardian. This all-white, lean, leggy, muscular dog has an alert, regal appearance conveying power, strength and courage with the speed and agility necessary to challenge and chase predators. His wedge-shaped head is adorned with pendant ears and long tail is curled over his back when moving or excited. Like other gazehounds, the Akbash Dog is characterized by his long legs, deep chest and tucked flank; the breed’s Mastiff influence is found in his height, weight, broad head and powerful appearance.",Akbash,"Suitable as both a home companion and guard dog, the Akbash Dog is calm, quiet, independent and steady. He is loyal, gentle and affectionate with his human family, children and other pets. He is naturally alert and suspicious toward strangers and can be territorial toward other dogs. The Akbash Dog is receptive to training and should be properly and frequently socialized and trained from an early age to ensure a well-behaved family dog and guardian.","The Akbash Dog is an ancient breed native to western Turkey’s plains and mountains, where he was bred by villagers and shepherds to guard livestock from wolves and other predators. Although the Akbash Dog is the Turkish counterpart to other white guardian breeds native to the northern Mediterranean Basin, he is the only breed to have the distinct combination of Mastiff and gazehound characteristics. In the 1970s, Americans David and Judy Nelson began studying these dogs, importing more than 40 Akbash Dogs to the United States. These imported dogs became the breed’s foundation stock in both the United States and Canada. In 1980, the US Department of Agriculture included Akbash Dogs in the Predator Control Program, in which they successfully performed, and in 1998, the United Kennel Club officially recognized the Akbash Dog as a member of its Guardian Dog Group.","Major Concerns: N/A

Minor Concerns: Hip dysplasia, epilepsy, dilated cardiomyopathy and hypothyroidism

Occasionally Seen: Gastric torsion and umbilical hernias

Suggested Tests: Hip, heart and thyroid

Lifespan: 10 to 12 years",0,../../../assets/dog-breeds/akbash.png,28,34,90,120,2,3,3,2,4,2,0,0,0,0,5,2,2,2
5,"This is a large and powerful breed, with much substance and heavy bone, and is slightly longer than tall. The Akita’s build reflects its original job of finding big game in deep snow and rugged terrain. This breed’s double coat consists of a dense undercoat and straight, rough, outer coat standing off from the body, about 2 inches or less in length. Such a combination provides ample insulation from water and weather. The gait is brisk and powerful. The Akita is a versatile dog of large spitz type, able to perform as hiking companion and protector.",Akita,"As befitting its spitz-like heritage, the Akita is bold, independent, stubborn, and tenacious. Demonstrative to their family, they are utterly devoted and will protect family members. This dog is reserved with strangers and can be assertive, so should be introduced carefully to new dogs and household pets. They can be domineering. Though not the breed for everyone, in the right hands the Akita is an excellent companion.","The Akita is perhaps the most renowned and venerated of the native Japanese breeds. Although it bears a likeness to dogs from ancient Japanese tombs, the modern Akita is the result of a concerted nineteenth century effort to restore seven native Japanese dog breeds. The Akita, largest of these breeds, was restored using many breeds, including indigenous Odate dogs, which were used as the best representatives of native Japanese animals. Over time, Japanese breeders selected against many traits descended from some ancestors, including black mask, pinto pattern, and substantial size; whereas American breeders perpetuated those traits. In 1918, the Akita-inu Hozankai Society of Japan was formed to preserve the original Akita, and in 1931 the Akita was designated as one of Japan’s natural monuments. The most honored Akita of all time was Hachiko, who greeted his master every evening at the train station to accompany him home. When his master died at work one day, Haichiko waited for him, and continued to return and wait for his master every day until he died nine years later on March 8, 1935. Today, a statue and annual ceremony pay homage to Haichiko’s loyalty. The first Akita arrived in America in 1937, when Helen Keller returned from Japan with one. Following World War II, servicemen returned home with Akitas from Japan. The breed’s popularity grew slowly until it received AKC recognition in 1972. Since then, it has steadily gained admirers and continues to grow in popularity. The Akita is now used as a guard and police dog in Japan.","Major concerns: CHD, PRA
Minor concerns: elbow dysplasia, pemphigus, sebaceous adenitis, gastric torsion, cruciate ligament rupture, osteosarcoma, lymphosarcoma, hypothyroidism
Occasionally seen: PRA, patellar luxation, VKH-like syndrome, entropion, epilepsy, cataract, polyneuropathy, renal cortical hypoplasia, microphthalmia
Suggested tests: hip, (elbow), eye, thyroid
Life span: 10–12 years
Note: Akitas are especially sensitive to anemia from red blood cell damage caused by eating onions.",0,../../../assets/dog-breeds/akita.png,23,28,65,115,3,2,2,2,5,3,0,0,0,0,4,3,5,3
6,"The Alaskan Malamute is a powerfully built dog of Nordic breed type, developed to haul heavy loads rather than race. This breed is slightly longer than tall, and is heavy boned and compact, designed for strength and endurance. The Malamute’s gait is steady, balanced, and tireless. The coat is thick and double, with a coarse outer coat and dense, wooly, oily undercoat, providing the ultimate in insulation. Although the eyes have a “wolf-like” appearance, the expression is soft.",Alaskan Malamute,"The Alaskan Malamute is powerful, independent, strong willed, and fun loving. Given the dog’s history as a sled dog, the malamute loves activity and interaction with the family. Malamutes are family oriented, and as long as they are given daily exercise, they are well-mannered in the home. Without proper exercise, they can become frustrated and destructive. This dog is friendly and sociable toward people, but may be assertive and should be introduced carefully to new dogs, pets, or livestock. Some can be domineering, and tend to dig and howl.","Like most of the dogs of the spitz family, the Alaskan Malamute evolved in the Arctic regions, shaped by the adverse climatic conditions. The breed’s origin is unknown, but was first described living among the native Inuit people known as the Mahlemuts, who lived along Norton Sound on Alaska’s northwest coast. The word Mahlemut comes from Mahle, an Inuit tribe name, and mut, meaning village. The dogs served as hunting partners for big game, and hauled the heavy loads back home. These dogs were, of necessity, large and strong rather than fast, enabling one dog to do the work of many smaller dogs. They were an essential cog in these people’s lives and were treated almost as one of the family, although they were never pampered as pets. When the first outside explorers came to the region in the 1700s, they were impressed not only by the hardy dog but also by their owners’ obvious attachment to them.

With the discovery of gold in 1896, a flood of outsiders came to Alaska; for entertainment, they staged weight-pulling contests and races among their dogs. The native breeds were interbred with each other and those brought by settlers, often in an attempt to create a faster racer or simply supply the vast numbers of dogs needed to supply the gold rush. The pure Malamute was in danger of being lost.

In the 1920s, a New England dog racing enthusiast obtained some good specimens, and began to breed the traditional Malamutes. As the breed’s reputation grew, some were chosen to help Admiral Byrd in his 1933 trek to the South Pole. During World War II, the Malamute was once again called into service, this time to serve as freight haulers, pack animals, and search-and-rescue dogs. In 1935, the breed received AKC recognition and began a new phase as an imposing show dog and loyal pet.","Major concerns: CHD, cataract
Minor concerns: chondrodysplasia, hypothyroidism
Occasionally seen: gastric torsion, hemeralopia, polyneuropathy, seizures
Suggested tests: hip, eye, (thyroid), (elbow), chondrodysplasia, (polyneuropathy)
Life span: 10–12 years",0,../../../assets/dog-breeds/alaskan.png,23,25,76,85,3,3,1,1,3,3,0,0,0,0,3,1,5,4
7,"The Eskie is built along classic Nordic Spitz lines. This breed is compactly built, slightly longer than tall. The stand-off, double coat resists soaking and provides insulation against the cold. The small thick ears are also cold resistant, and the trot is agile and bold. The expression is keen and alert.",American Eskimo,"The American Eskimo is bright, eager to please, lively, and fun loving—in short, an enjoyable and generally obedient companion. True to this dog’s spitz heritage, The Eskie is independent and tenacious and loves to run, especially in cold weather. They are among the most biddable of spitz breeds, and are calm and well-mannered inside. Because of their watchdog origins, Eskies can be wary of strangers, and may not be the best choice for homes with small children, other dogs, or pets unless well supervised.","As the prototypical spitz, the Eskie (as this breed is often called) is just as often simply called spitz by pet households. In fact, the American Eskimo Dog descended from one of the varieties of spitz developed in Germany, with influences from other spitz breeds such as the Keeshond, Pomeranian, and Volpino Italiano. Ironically, it was the success of these other breeds that held the Eskie back. Although the Keeshond originally came in several colors, when it was decided to accept only gray specimens, the white Keeshonden were suddenly excluded. When the Pomeranian standard was drawn up to exclude dogs over 8 pounds, larger dogs were excluded as Pomeranians. Thus, by the early 1900s, there were two groups of medium-sized white dogs that, although pure-breds, were excluded from their breeds. Their fate is unknown, but it is likely that they became pets of the working people.

When European workers came to America, they brought these dogs with them as general farm workers and watchdogs. The UKC began registering them in 1913. In the 1920s the American Spitz (as it had come to be called) became a favorite of circus performers. Spectators often left the circus with a new family member—an offspring of one of the dazzling performers. Many present-day Eskies can be traced back to their circus ancestors.

After World War I, the breed’s name was changed to American Eskimos, to remove any Germanic sound from the name. Most Eskies were kept as pets and farm dogs. It wasn’t until 1994 that the AKC recognized the breed. The Eskie remains a dog of the people, and a very popular companion.","Major concerns: none
Minor concerns: CHD, PRA, patellar luxation
Occasionally seen: diabetes
Suggested tests: hip, eye, (knee), DNA for PRA
Life span: 12–14 years",0,../../../assets/dog-breeds/eskimo.png,9,19,6,40,4,3,2,3,5,3,0,0,0,0,2,4,5,3
8,"The smallest member of the Sporting Group, the Cocker should be compact and sturdy. Their gait is ground covering, strong, and effortless. The coat is silky, flat or slightly wavy, not overly long. Excessive coat can hinder the dog in the field. The head and expression are hallmarks of the breed; the expression is soft and appealing. The Cocker should still be able to spend a day in the field and should be balanced and athletic. It is true, however, that most Cockers now have too much coat for field work.",American Cocker Spaniel,"This breed is known as the “merry” Cocker, and the name is most fitting. He is playful, cheerful, amiable, sweet, sensitive, willing to please, and responsive to his family’s wishes. He is not known for retaining his hunting instincts, but he is inquisitive and will appreciate a country outing. He is equally at home in the city and will happily walk on leash for his exercise needs. Some bark a lot; some are overly submissive.","The American version of the Cocker Spaniel is derived from the English Cocker Spaniel. In the late 1800s, many English Cockers were brought to America, but American hunters preferred a slightly smaller dog to hunt quail and other small game birds. The American Cocker is smaller, with a rounder head, shorter muzzle, and more profuse coat than its English ancestor. Just how this smaller Cocker was developed is not entirely clear; some credit the dog Obo 2nd, born around 1880, as the first true American Cocker. But other evidence points to crosses of the English Cocker with even smaller toy spaniels (that nonetheless arose from the same ancestral stock).

Initially the English and American Cocker Spaniels were considered varieties of the same breed, but they were officially separated by the AKC in 1935. Although Cockers were already popular, after the separation the American Cocker surged in popularity and has remained one of the most popular breeds of all time in America. In fact, it was the most popular breed for many years. So popular was it that it was eventually divided into three color varieties: black, particolor, and ASCOB, which stands for Any Solid Color Other than Black. Only recently has its popularity spread to England, where it was recognized by the English Kennel Club in 1968, and it has gained admirers steadily since.","Major concerns: cataract, glaucoma, PRA
Minor concerns: CHD, ectropion, patellar luxation, entropion, allergies, seborrhea, otitis externa, liver disease, CHF, phosphofructokinase deficiency, urinary stones, cherry eye, cardiomyopathy, hypothyroidism
Occasionally seen: gastric torsion, elbow dysplasia, epilepsy
Suggested tests: eye, (knee), hip, (thyroid), DNA for phosphofructokinase deficiency
Life span: 12–15 years",0,../../../assets/dog-breeds/cocker.png,13.5,15.5,24,28,4,4,5,5,4,3,0,0,0,3,1,4,3,3
9,"An energetic, active working dog, the American Bulldog exudes a dominant, powerful and athletic appearance, with strong muscles and substantial boning. He is recognized for his strength, courage and working abilities, whether guarding property or driving livestock.",American Bulldog,"The American Bulldog is an agile, confident and loyal protector for his human family, as well as of personal property. He is a gentle, affectionate and loving companion, albeit fearless and ready to strike should any intruder cross his path. An energetic, active working dog, the American Bulldog exudes a dominant, powerful and athletic appearance, with strong muscles and substantial boning. He gets along well with young children, as well as dogs and other pets so long as he was raised with them from the start. The American Bulldog does not do well when left alone for prolonged periods of time. With proper socialization, training and regular exercise, the American Bulldog is a true companion and excellent watchdog.","Originating in England, the general bulldog type began as a working dog that drove cattle and guarded his master’s property. Known for his strength, courage and ease around livestock, the breed began being used for bull baiting before it was outlawed in England. Consequently following the ban, the breed was replaced with the less athletic, shorter and stockier English Bulldog.

Meanwhile, the original bulldog type was preserved by working class immigrants, who brought them on their journey to America to use as all-around working dogs on farms and ranches in the South. The breed nearly became extinct after World War II, but a returning war veteran named John D. Johnson worked to revive the breed alongside Alan Scott and other breeders. From here came the Johnson and Scott types — the former being the “standard” (a sleek, athletic dog built for performance) and the latter being referred to as the “bully” (a bulkier, heavier dog with more muscle mass). Despite these differences, Johnson and Scott maintained the breed’s overall health and working abilities. Today, the modern American Bulldog as we know it remains a well-rounded working dog, courageous guard dog and faithful family companion. The United Kennel Club recognized the American Bulldog in 1999.","Major Concerns: Neuronal ceroid lipofuscinosis (a disorder of the nervous system that causes swelling and changes in the retinal cells) and kidney and/or thyroid disorders
Minor Concerns: Cherry eye
Occasionally Seen: Bone cancer
Suggested Tests: Hips and elbows
Lifespan: 10 to 15 years",0,../../../assets/dog-breeds/bulldog.png,20,27,60,120,5,1,2,3,3,4,0,0,0,4,5,5,1,4
10,"American Staffordshire Terriers are muscular, giving the impression not only of great strength for their size but also of grace and agility. Their gait is springy. Their low center of gravity help them to easily stay on their feet, however they are also quite nimble. The coat is short, close, and glossy.",American Staffordshire Terrier,"Typically docile and playful with their family, American Staffordshire Terriers are also generally friendly toward strangers as long as their family is present. They are generally very good with children. They are a protective breed and should be introduced to new dogs carefully. They are stubborn, tenacious, and fearless. For all of their tough persona, the most important thing in life to this breed is their family’s fond attention.","The American Staffordshire Terrier and the Staffordshire Bull Terrier descended from the same lines. The fist dog originally sprang from mixing the old type of Bulldog with some old terrier types, probably the English Smooth Terrier. The result was aptly called the Bull and Terrier, later to be dubbed the Staffordshire Bull Terrier. They gained passage to America in the late 1800s, where they became known as the Pit Bull Terrier, American Bull Terrier, and even Yankee Terrier. Americans favored a slightly bigger dog than the English preferred, and with time the two strains diverged.

In 1936, the AKC recognized the breed as the Staffordshire Terrier (the name was changed in 1972 to American Staffordshire Terrier). The Am Staff evolved to have a sweet and trustworthy disposition around people. Unfortunately, these dogs have sometimes appealed to people seeking them for their strength rather than their loving abilities. Beginning in the 1980s, Am Staffs sometimes found themselves the target of breed-specific laws aimed at banning or controlling certain types of dogs. Despite this, the Am Staff is extremely popular among people wanting a people- and fun-loving dog.","Major concerns: CHD, cerebellar ataxia, PRA
Minor concerns: elbow dysplasia, heart disease, hypothyroidism
Occasionally seen: cruciate ligament rupture, allergies, hypothyroidism
Suggested tests: hip, cardiac, (elbow), thyroid, eye, DNA for ataxia
Life span: 12–14 years
Note: CHD seldom causes problems or symptoms in this breed.",0,../../../assets/dog-breeds/staffordshire.png,17,19,57,67,3,1,1,2,5,3,0,0,0,3,5,4,3,3
